Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
160,2402,2259,1-0,-,15,-,13,"13,14,15","6,7,8,9,10,10,11,11,13,13","a4c2,h4g3,f2f3","d6b4,d6c5,f7f6,g4e5,g4e5,g4e5,d6e5,d6e5,e5g6,e5g6"
168,2959,2711,1-0,-,-,6,-,"8,10,11,12,13,14,15",6,"b1d2,h2h4,d2d5,b2e5,e5g7,c4d5,b1c3",e8g8
169,2325,2411,0-1,-,-,9,-,"10,11,12,13,14","8,9","d2d3,e1g1,e1g1,e1g1,e2b5","e8g8,e8g8"
173,2590,2679,1-0,8,-,11,-,8,11,f3h4,e8g8
174,2522,2309,1-0,5,-,8,-,5,"7,8",c2c4,"d6f4,h7h6"
172,2634,2597,1-0,12,-,5,-,"7,8,9,10,11,12","4,5","d4d5,d4d5,f3d2,g2g4,g2g4,g2g4","e8g8,e8g8"
175,2470,2608,0-1,6,-,5,-,"4,5,6",5,"f3g5,e1g1,e1g1",e8g8
176,2404,2602,0-1,7,-,7,-,7,7,a1b1,e8g8
171,2400,2304,0-1,-,14,-,-,"10,11,12,13,14","5,6,7","g1h3,h5h3,h5h3,g1h3,g1e2","f6e4,f5e4,g6h5"
177,2423,2372,1/2-1/2,9,-,5,-,"4,5,6,7,8,9",5,"d2d4,d2d4,d2d4,e1g1,e1g1,e1g1",e8g8
180,2301,2409,1-0,9,-,12,-,"8,9","11,12","c4b3,c3d5","a7a5,c7c5"
181,2406,2273,1/2-1/2,6,-,8,-,"4,5,6",8,"h2h3,d2d4,c4d5",b8c6
179,2418,2427,0-1,-,-,-,-,"11,11,12,12,13,13,14,14,15,15","9,10,11,12,13,14,15","e1g1,e1g1,d4e5,d4e5,h4g3,h4g3,d3c2,d3c2,f5c2,f5c2","f5d3,b8d7,d7e5,f6d7,e7b4,d8b6,h6h5"
182,2586,2518,1-0,10,-,9,-,"9,10,10",9,"g2g4,c4d5,c4d5",e8g8
178,2480,2504,0-1,8,-,-,-,8,"8,9,10,11,12,13,14,15",e3d2,"b4c3,d7d6,d7d6,c3a3,d7d6,h7h5,c8d7,c8d7"
183,2284,2438,0-1,4,-,-,-,4,"6,7,8",b1c3,"e5d4,a7a6,e7d5"
186,2505,2538,0-1,4,-,7,-,4,7,c2c4,h7h6
188,2674,2674,0-1,7,-,5,-,7,5,e1g1,e8g8
184,2574,2447,1-0,14,-,-,-,"13,14","14,15","d1c2,e5d7","b6d6,d7e5"
187,2624,2575,1/2-1/2,8,-,-,-,"7,8","10,11,12,13,14,15","e1g1,e1g1","d8d7,h7h6,h6g5,d7e7,g5g4,g6h4"
185,2614,2624,0-1,-,-,-,-,"8,9,10,11,12,13","9,10,11,12,15","g2g4,g2g4,h2h4,d2c3,f2f3,c4e6","f5g6,b8d7,a5c7,h7h5,h5g4"
189,2605,2745,1-0,9,-,-,-,"6,7,8,9","13,14,15","a2a4,e1g1,a4b5,c3d5","e6f5,g6f5,c8f5"
192,2408,2213,0-1,9,-,9,-,"8,9","6,7,8,9","e4d5,e1g1","b7c6,e8g8,e8g8,e8g8"
193,2532,2502,0-1,6,-,10,-,6,"7,8,9,10,10",c3c4,"e7e6,h7h5,h8g8,h8g8,h8g8"
195,2459,2521,1/2-1/2,5,-,7,-,5,"6,7",e1g1,"d7d5,f6e4"
190,2400,2328,1-0,-,-,-,-,"7,8,9,10,11,12,13,14,14,15,15",-,"d4b3,d1d8,g2e4,e4g2,c1d2,c1e3,c1g5,e3b6,e3b6,e1c1,e1c1",-
191,2538,2438,0-1,-,-,-,13,"6,7,8,9,10,11,12,13,13,14,14,15,15","10,11,12,13","e1c1,h4h5,g2g4,h4h5,e1c1,g5f4,f4g3,f4g3,f4g3,h4h5,h4h5,a4a5,a4a5","f7f6,e6f7,e7e5,b6c7"
198,2476,2409,0-1,7,-,6,-,7,6,e1g1,e8g8
194,2356,2416,1-0,-,13,-,-,"7,8,9,10,13","10,11,12,13,14,15","d1e2,e4e5,h2h3,h3g4,e1c1","c5d4,d7d6,b8c6,d4c3,b7e4,b8c6"
200,2538,2519,0-1,-,-,-,-,-,-,-,-
201,2349,2455,1-0,13,-,13,-,13,13,b1d2,b8d7
199,2411,2307,1-0,6,-,5,-,6,5,e3e4,d6d5
196,2448,2538,0-1,6,-,15,-,6,"11,12,12,13,13,14,14,15,15",e1g1,"d8b6,b6b2,b6b2,d5d4,d5d4,d7c5,d7c5,h7h6,a8d8"
204,2299,2441,0-1,5,-,8,-,"4,5","6,7,8","b5a4,e1g1","b7b5,e8g8,e8g8"
205,2314,2859,0-1,-,-,-,-,-,-,-,-
202,2543,2591,1-0,-,-,8,-,"11,12,13,14,15","7,8","d6e7,c3b5,f4g3,c7a8,a8c7","b4c3,d7d5"
206,2547,2505,0-1,11,-,4,-,11,4,e1g1,e8g8
197,2509,2386,0-1,-,-,6,-,"5,6,7,8,9,10,11,12,13,14,15","5,6","e2e4,e1c1,e1c1,e1c1,h6g7,h6g7,b2b3,h4h5,h6g5,h6e3,f1e2","c7c6,b7b5"
203,2338,2603,0-1,-,-,-,-,"9,10","5,6,7,9,10,11,12,13,14","a4c4,e2e3","f6e4,e4c3,d5c4,d8a5,b8a6,a5b4,b7b5,c6c5,g7c3"
208,2514,2632,0-1,6,-,11,-,6,11,e1g1,e8g8
209,2506,2417,0-1,-,8,-,-,8,"11,12,14,15",e1c1,"e7f6,d7c6,a8c8,f6e7"
207,2535,2479,1-0,11,-,-,-,"10,11","10,11,11,12,13,13,14,14,15,15","e1g1,f4h6","d6f4,h7h5,h7h5,c7d6,g4e2,g4e2,e8g8,f6f5,e8f8,e8f8"
212,2370,2624,0-1,7,-,10,-,7,"9,10",c1e3,"e8g8,e8g8"
210,2473,2345,1-0,15,-,-,13,"7,12,13,14,15","12,13","d5e6,b5e2,b1c3,c1d2,a1b1","e7e6,e7e6"
