Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
64133,1561,1530,0-1,5,2,9,1
64139,1711,1724,0-1,5,2,10,0
64138,1583,1549,1-0,6,2,8,0
64137,1324,1327,1-0,10,2,6,1
64145,1089,1125,0-1,9,2,5,1
64143,2286,2273,1-0,6,1,9,2
64141,1907,1903,1-0,7,1,10,2
64150,1437,1423,0-1,7,3,6,0
64146,1259,1307,0-1,9,2,5,3
64142,1088,1081,1-0,7,2,10,1
64140,1520,1558,1-0,8,1,10,2
64147,778,814,0-1,5,1,8,2
64151,1706,1774,0-1,7,1,7,1
64148,1181,1300,0-1,10,2,8,4
64156,1267,1389,*,4,1,4,2
64144,847,853,0-1,10,1,10,1
64152,1301,1340,1-0,7,2,4,2
64155,1589,1587,0-1,10,0,6,1
64149,1297,1265,1-0,10,1,9,2
64160,1181,1173,0-1,4,1,10,3
64154,1909,1846,1-0,10,0,10,1
64153,1153,1100,1-0,8,1,8,1
64158,1343,1319,1-0,9,1,9,3
64157,1416,1356,1-0,8,1,10,2
64159,2081,1982,1-0,9,3,8,1
64165,1541,1535,0-1,10,2,5,3
64162,1510,1509,0-1,10,1,5,2
64170,1823,1735,1-0,2,1,1,0
64161,1793,1742,0-1,9,2,5,3
64166,1784,1810,1-0,7,3,8,2
64172,1811,1824,0-1,10,2,4,2
64167,1690,1691,1-0,10,1,5,4
64163,1884,1912,0-1,10,2,9,1
64168,1417,1424,1-0,6,1,8,2
64174,1001,1110,1-0,6,2,5,0
64176,1621,1624,0-1,8,1,3,1
64164,1769,1740,0-1,8,1,10,1
64169,1861,1862,1-0,7,2,7,2
64175,1290,1244,1-0,7,0,6,0
64171,1768,1743,1-0,6,3,10,2
64178,2116,2097,0-1,7,2,5,2
64173,1928,1914,0-1,10,3,6,3
64183,1579,1539,1-0,6,3,5,4
64182,864,924,1-0,7,2,6,2
64177,1823,1868,1-0,4,0,10,2
64180,1275,1262,1-0,8,1,7,2
64179,1642,1665,0-1,9,2,10,2
