Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
18979,2024,1973,1-0,7,2,10,2
18972,1011,1072,1/2-1/2,8,2,9,2
18973,1170,1218,0-1,10,3,10,3
18980,1687,1682,0-1,10,1,10,2
18983,1282,1164,0-1,10,2,10,2
18986,2059,2146,0-1,9,2,5,2
18981,1388,1360,0-1,6,2,9,2
18987,1920,1964,0-1,6,2,9,3
18984,1826,1779,0-1,7,2,7,0
18985,1862,1862,1-0,7,3,8,0
18982,1776,1720,0-1,6,3,10,2
18990,1623,1561,1-0,5,2,7,1
18988,1479,1463,1-0,5,1,9,2
18996,1052,1046,0-1,9,2,6,2
18991,1325,1288,0-1,9,3,6,1
18993,1995,2105,0-1,9,1,6,0
18994,1417,1407,0-1,6,0,8,1
18992,1677,1648,1-0,9,3,8,2
18989,1600,1573,1-0,9,3,9,2
18995,1860,1882,1-0,8,3,6,2
18998,1351,1289,1-0,9,1,6,1
19000,2048,2075,1-0,10,2,10,2
18997,1427,1408,1-0,7,2,10,1
18999,1268,1303,0-1,8,1,7,1
19001,2011,2021,1-0,10,2,6,3
19006,1499,1479,0-1,9,4,7,3
19003,1562,1562,1-0,9,2,9,2
19004,1689,1731,0-1,8,3,7,2
19010,2077,2169,0-1,8,1,7,3
